ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Мясо нутрии	Food	Myocastor coypus (organism), Allergy to meat (finding)	392580003, 703931001	392580003, 703931001	0
Мясо утки	Food	Duck - meat (substance)	226963000	226963000	0
Мясо ягненка	Food	Lamb - meat (substance)	226942002	226942002	0
мята	Food	Mint - sweet (substance)	226041007	226041007	0
мяты перечной	Food	Mentha piperita (organism)	103599003	103599003	0
Навага	Food	Eleginus gracilis (organism),Allergy to fish (finding)	71401006, 417532002	71401006, 417532002	0
Налим	Food	Lota lota (organism),Allergy to fish (finding)	32869007, 417532002	32869007, 417532002	0
Напитки	Food	Drinks (substance)	226465004	226465004	0
настойка	Food	Tincture (basic dose form)	422186009	422186009	0
нектарин	Food	Nectarine (substance)	227435001	227435001	0
Нут	Food	Chick peas (substance)	227346004	227346004	0
нутрилак	Food	Baby food (substance)	227983006	227983006	0
Нутрилак безлактозный	Food	Baby food (substance)	227983006	227983006	0
Нутрилак с пребиотиками	Food	Baby food (substance)	227983006	227983006	0
Нутрилон	Food	Baby food (substance)	227983006	227983006	0
Нутрилон пепти	Food	Baby food (substance)	227983006	227983006	0
нутриция	Food	Baby food (substance)	227983006	227983006	0
Облепиха	Food	Genus Sideroxylon (organism)	422115000	422115000	0
оболочка	Food	shell	0	0	3
оболочка лекарственных средств	Food	drug shell	0	0	3
оболочка таблеток	Food	tablet shell	0	0	3
Обработанное молоко	Food	Milk (substance)	70813002	70813002	0
Овальбумин	Food	Ovalbumin (substance)	303301007	303301007	0
Овес	Food	Allergy to oat (finding)	419342009	0	1
Овечий сыр	Food	Allergy to cheese (finding)	300914000	300914000	0
Овечье молоко	Food	Sheep milk (substance)	226791004	226791004	0
Овомукоид	Food	Ovomucin (substance)	414983003	414983003	0
овощ	Food	Vegetable (substance)	22836000	22836000	0
Овсяная крупа	Food	Allergy to oat (finding)	419342009	0	1
Овсяная мука	Food	Allergy to oat (finding)	419342009	0	1
Овсянное зерно	Food	Allergy to oat (finding)	419342009	0	1
Овсяные хлопья	Food	Cereal (substance)	23182003	23182003	0
Огурец	Food	Cucumber (substance)	735213008	735213008	0
окунь	Food	Family Percidae - perch (organism),Allergy to fish (finding)	107437001, 417532002	107437001, 417532002	0
Окунь морской	Food	Family Percidae - perch (organism),Allergy to fish (finding)	107437001, 417532002	107437001, 417532002	0
Окунь речной	Food	Family Percidae - perch (organism),Allergy to fish (finding)	107437001, 417532002	107437001, 417532002	0
Оленина	Food	Roast venison (substance)	226979004	226979004	0
Оливки	Food	Olives (substance)	227436000	227436000	0
Оливковое масло	Food	Allergy to olive oil (finding)	294316000	0	1
Омар	Food	Allergy to lobster (finding)	418626004	0	1
опята	Food	Armillariella mellea (organism)	87575003	87575003	0
оранжевый	Food	Orange color (qualifier value)	371242008	371242008	0
Орегано	Food	Oregano (substance)	227407000	227407000	0
орех	Food	Allergy to nut (finding)	91934008	0	1
Орех кешью	Food	Allergy to cashew nut (finding)	712838009	0	1
орех макадамия	Food	Allergy to macadamia nut (finding)	712844008	0	1
Орех пекан	Food	Pecan nut (substance)	260189007	260189007	0
Орехи 	Food	Allergy to nut (finding)	91934008	0	1
орешек	Food	Allergy to nut (finding)	91934008	0	1
Осетр	Food	Acipenser (organism),Allergy to fish (finding)	20264007, 417532002	20264007, 417532002	0
осетрина	Food	Acipenser (organism),Allergy to fish (finding)	20264007, 417532002	20264007, 417532002	0
осетровая икра	Food	 Fish roe (substance)	227183005	227183005	0
Осьминог	Food	Octopus (substance)	735979007	735979007	0
Отруби	Food	Bran (substance)	391858005	391858005	0
Палтус	Food	Halibut (substance)	227067008	227067008	0
Палтус обыкновенный	Food	Halibut (substance)	227067008	227067008	0
Пангасиус	Food	Allergy to fish (finding)	417532002	417532002	0
Папайя	Food	Papaya (substance)	735212003	735212003	0
Паприка	Food	Paprika (substance)	227408005	227408005	0
пармезан	Food	Parmesan cheese (substance)	226838004	226838004	0
пекан	Food	Pecan nut (substance)	260189007	260189007	0
Перепелиное мясо	Food	Lark quail (organism), Allergy to meat (finding)	52807003, 703931001	52807003, 703931001	0
перец	Food	Pepper (substance)	412066006	412066006	0
