ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Мышь сыворотка	Environment	Mouse serum proteins diagnostic allergen extract (product)	411601000	411601000	0
Мышь эпителий	Environment	Mouse epithelium diagnostic allergen extract (product)	411592006	411592006	0
Мятлик	Environment	Genus Poa (organism)	363636008	363636008	0
Мятлик луговой	Environment	Genus Poa (organism)	363636008	363636008	0
Мятлик однолетний	Environment	Genus Poa (organism)	363636008	363636008	0
Нарцисс	Environment	Narcissus (organism)	7492001	7492001	0
насекомое	Environment	Allergic rhinitis caused by insects (disorder)	1,06E+16	1,06E+16	0
насекомые	Environment	Allergic rhinitis caused by insects (disorder)	1,06E+16	1,06E+16	0
Натуральная шерсть	Environment	Allergy to wool (finding)	425605001	425605001	0
Натуральный шелк	Environment	Silk waste specific diagnostic allergen extract (product)	411878009	411878009	0
Нивяник обыкновенный	Environment	Wedelia asperrima (organism)	20118007	20118007	0
обойная пыль	Environment	Allergy to dust (finding)	390952000	390952000	0
Овес	Environment	Avena sativa pollen diagnostic allergen extract (product)	411778003	411778003	0
Овес посевной	Environment	Avena sativa pollen diagnostic allergen extract (product)	411778003	411778003	0
овечка	Environment	Ovis aries (organism), Allergy to animal protein (finding)	125099002, 717234006	125099002, 717234006	0
Овечья шерсть	Environment	Allergy to wool (finding)	425605001	425605001	0
Овсюг обыкновенный	Environment	Avena sativa pollen diagnostic allergen extract (product)	411778003	411778003	0
Овсяница луговая	Environment	Lolium pratense (organism)	420746002	420746002	0
Овца	Environment	Ovis aries (organism), Allergy to animal protein (finding)	125099002, 717234006	125099002, 717234006	0
Овца эпителий	Environment	Sheep epithelium diagnostic allergen extract (product)	411597000	411597000	0
Одежда	Environment	Linen cloth (physical object)	989005	989005	0
Одуванчик	Environment	Taraxacum vulgare specific diagnostic allergen extract (product)	411964009	411964009	0
Оксид этилена	Environment	Ethylene oxide (substance)	14006006	14006006	0
Олеандр	Environment	Nerium oleander (organism)	67310006	67310006	0
Олеандр обыкновенный	Environment	Nerium oleander (organism)	67310006	67310006	0
Олива	Environment	Olea europaea (pollen) specific diagnostic allergen extract (product)	411921002	411921002	0
